day,hour,minute,relativeTime,9_weeks_data_males_pair_h_TIMESTAMP,9_weeks_data_males_pair_h_AVG,9_weeks_data_males_pair_h_SEM,9_weeks_data_males_pair_h_QRT,9_weeks_data_males_pair_h_SAMPLES,9_weeks_data_males_pair_h_DVC_086892,9_weeks_data_males_pair_h_DVC_086891,9_weeks_data_males_pair_h_DVC_086890,9_weeks_data_males_pair_h_DVC_086889,9_weeks_data_males_pair_h_DVC_086888,16_weeks_data_males_pair_h_TIMESTAMP,16_weeks_data_males_pair_h_AVG,16_weeks_data_males_pair_h_SEM,16_weeks_data_males_pair_h_QRT,16_weeks_data_males_pair_h_SAMPLES,16_weeks_data_males_pair_h_DVC_086887,16_weeks_data_males_pair_h_DVC_086886,16_weeks_data_males_pair_h_DVC_086885,16_weeks_data_males_pair_h_DVC_086884,16_weeks_data_males_pair_h_DVC_086883
6,1,5,522300,2025-03-18T01:05:00.000+0100,0.5046744436171092,1.1284863624347412,"[0.0,0.0,0.0,0.0,2.5233722180855462,0.0,2.5233722180855462]",5942,0.0,2.5233722180855462,0.0,0.0,0.0,2025-03-18T01:05:00.000+0100,0.819924594310298,1.0757975285937358,"[0.0,0.0,0.38521315699275493,1.170206479216159,2.544203335342576,0.0,2.544203335342576]",5942,0.38521315699275493,2.544203335342576,1.170206479216159,0.0,0.0
6,1,10,522600,2025-03-18T01:10:00.000+0100,0.21014312898155044,0.35791260382522583,"[0.0,0.0,0.0,0.2243555650108145,0.8263600798969376,0.0,0.2243555650108145]",5944,0.0,0.2243555650108145,0.0,0.0,0.8263600798969376,2025-03-18T01:10:00.000+0100,1.4353378482194565,1.8009864317432374,"[0.0,0.0,1.0947712418300655,1.7027148412107458,4.379203158056471,0.0,1.7027148412107458]",5943,4.379203158056471,1.0947712418300655,1.7027148412107458,0.0,0.0
6,1,15,522900,2025-03-18T01:15:00.000+0100,0.8326714652105569,0.8583251939353693,"[0.0,0.0,0.8629992081220674,1.316526610644258,1.9838315072864585,0.0,1.9838315072864585]",5943,0.0,1.316526610644258,1.9838315072864585,0.0,0.8629992081220674,2025-03-18T01:15:00.000+0100,0.7572066801404106,0.8551282673626882,"[0.0,0.0,0.4978784762850289,1.3814724201917055,1.9066825042253188,0.0,1.9066825042253188]",5944,1.3814724201917055,1.9066825042253188,0.4978784762850289,0.0,0.0
6,1,20,523200,2025-03-18T01:20:00.000+0100,1.2594818518124549,1.4908610556575896,"[0.0,0.0,0.6376094741694146,2.38328664799253,3.2765131369003293,0.0,3.2765131369003293]",5942,0.0,2.38328664799253,3.2765131369003293,0.0,0.6376094741694146,2025-03-18T01:20:00.000+0100,1.658180571806782,3.1012935668910373,"[0.0,0.0,0.04213499745889917,1.108008604285596,7.140759257289415,0.0,1.108008604285596]",5941,1.108008604285596,7.140759257289415,0.0,0.0,0.04213499745889917
6,1,25,523500,2025-03-18T01:25:00.000+0100,1.402876762519354,1.9739776718967281,"[0.0,0.0,0.0,2.864588873524093,4.149794939072676,0.0,4.149794939072676]",5944,0.0,4.149794939072676,2.864588873524093,0.0,0.0,2025-03-18T01:25:00.000+0100,0.749872944958574,1.6572628094116542,"[0.0,0.0,0.0,0.0350140056022409,3.7143507191906293,0.0,0.0350140056022409]",5944,0.0,3.7143507191906293,0.0,0.0,0.0350140056022409
6,1,30,523800,2025-03-18T01:30:00.000+0100,2.006364571144914,2.6100999964152614,"[0.0,0.0,0.7703081232492999,3.2349099977543765,6.026604734720893,0.0,6.026604734720893]",5941,0.0,6.026604734720893,3.2349099977543765,0.7703081232492999,0.0,2025-03-18T01:30:00.000+0100,1.0576593506600953,2.0029278789308522,"[0.0,0.0,0.0,0.6874859648500751,4.600810788450401,0.0,0.6874859648500751]",5941,0.0,4.600810788450401,0.0,0.0,0.6874859648500751
6,1,35,524100,2025-03-18T01:35:00.000+0100,1.598257868548263,1.9494723061370487,"[0.0,0.0,0.973625737214717,2.412893427413159,4.604770178113439,0.0,4.604770178113439]",5943,0.0,2.412893427413159,4.604770178113439,0.973625737214717,0.0,2025-03-18T01:35:00.000+0100,1.0116831542743678,1.8033763461846153,"[0.0,0.0,0.0,0.896358543417367,4.162057227954472,0.0,0.896358543417367]",5944,0.0,4.162057227954472,0.0,0.0,0.896358543417367
6,1,40,524400,2025-03-18T01:40:00.000+0100,0.9017303123781157,1.2089845222492535,"[0.0,0.02812939521800281,0.035043553286293425,2.10231772033708,2.3431608930492027,0.0,2.3431608930492027]",5942,0.035043553286293425,2.3431608930492027,2.10231772033708,0.0,0.02812939521800281,2025-03-18T01:40:00.000+0100,0.5891217246392227,1.1808931067181285,"[0.0,0.0,0.007032348804500703,0.24542306374026404,2.693153210651349,0.0,0.24542306374026404]",5942,0.007032348804500703,2.693153210651349,0.0,0.0,0.24542306374026404
6,1,45,524700,2025-03-18T01:45:00.000+0100,0.6162524081362503,0.6699117330848927,"[0.0,0.0,0.5672564384403551,0.9313725490196079,1.5826330532212887,0.0,1.5826330532212887]",5944,0.5672564384403551,1.5826330532212887,0.9313725490196079,0.0,0.0,2025-03-18T01:45:00.000+0100,0.7364051105674336,0.6828183870507675,"[0.0,0.0,1.0367691380349608,1.284910588708057,1.3603458260941506,0.0,1.3603458260941506]",5941,1.3603458260941506,1.0367691380349608,0.0,0.0,1.284910588708057
6,1,50,525000,2025-03-18T01:50:00.000+0100,0.39379971397841834,0.4844050795791891,"[0.0,0.0,0.189252916356416,0.6725939320876029,1.1071517214480728,0.0,1.1071517214480728]",5942,0.189252916356416,0.0,1.1071517214480728,0.0,0.6725939320876029,2025-03-18T01:50:00.000+0100,0.8851225286090095,0.9220932977930953,"[0.0,0.007032348804500703,0.9315202874398703,1.3130300572681213,2.1740299495325557,0.0,2.1740299495325557]",5933,0.9315202874398703,2.1740299495325557,0.007032348804500703,0.0,1.3130300572681213
